source,source_lat,source_lng,target,target_lat,target_lng,weight
Al Hazum_Al Jawf,16.16949462890625,44.778175354003906,Amran City_Amran,15.658334732055664,43.94267654418945,38.10328124712685
Al Hazum_Al Jawf,16.16949462890625,44.778175354003906,Jihana Almarkazi_Sana'a,15.22632,44.48106,38.10328124712685
Al Hazum_Al Jawf,16.16949462890625,44.778175354003906,Sana'a City_Amanat Al Asimah,15.348196029663086,44.196414947509766,38.10328124712685
Al Hazum_Al Jawf,16.16949462890625,44.778175354003906,Alsuail_Hajjah,15.69607,43.61025,38.10328124712685
Al Jabeen_Raymah,14.704837799072266,43.59856414794922,Alduhamih_Al Hudaydah,14.79294,42.9481,32.25846464790179
Al Jabeen_Raymah,14.704837799072266,43.59856414794922,Mahweet City_Al Mahwit,15.467576026916504,43.543514251708984,32.25846464790179
Al Jabeen_Raymah,14.704837799072266,43.59856414794922,Dhamar City_Dhamar,14.543986320495604,44.39492416381836,32.25846464790179
Al Jabeen_Raymah,14.704837799072266,43.59856414794922,Sana'a City_Amanat Al Asimah,15.348196029663086,44.196414947509766,32.25846464790179
Al Jabeen_Raymah,14.704837799072266,43.59856414794922,Ibb City_Ibb,13.976155281066896,44.1850471496582,32.25846464790179
Alduhamih_Al Hudaydah,14.79294,42.9481,Al Jabeen_Raymah,14.704837799072266,43.59856414794922,33.83453068186089
Alduhamih_Al Hudaydah,14.79294,42.9481,Mahweet City_Al Mahwit,15.467576026916504,43.543514251708984,33.83453068186089
Alduhamih_Al Hudaydah,14.79294,42.9481,Alsuail_Hajjah,15.69607,43.61025,33.83453068186089
Alduhamih_Al Hudaydah,14.79294,42.9481,Amran City_Amran,15.658334732055664,43.94267654418945,33.83453068186089
Alduhamih_Al Hudaydah,14.79294,42.9481,Sana'a City_Amanat Al Asimah,15.348196029663086,44.196414947509766,33.83453068186089
Alsuail_Hajjah,15.69607,43.61025,Mahweet City_Al Mahwit,15.467576026916504,43.543514251708984,37.74276926113113
Alsuail_Hajjah,15.69607,43.61025,Amran City_Amran,15.658334732055664,43.94267654418945,37.74276926113113
Alsuail_Hajjah,15.69607,43.61025,Sana'a City_Amanat Al Asimah,15.348196029663086,44.196414947509766,37.74276926113113
Alsuail_Hajjah,15.69607,43.61025,Haradh Town_Hajjah,16.406211,43.055868,37.74276926113113
Alsuail_Hajjah,15.69607,43.61025,Jihana Almarkazi_Sana'a,15.22632,44.48106,37.74276926113113
Amran City_Amran,15.658334732055664,43.94267654418945,Alsuail_Hajjah,15.69607,43.61025,34.05868209053506
Amran City_Amran,15.658334732055664,43.94267654418945,Sana'a City_Amanat Al Asimah,15.348196029663086,44.196414947509766,34.05868209053506
Amran City_Amran,15.658334732055664,43.94267654418945,Mahweet City_Al Mahwit,15.467576026916504,43.543514251708984,34.05868209053506
Amran City_Amran,15.658334732055664,43.94267654418945,Jihana Almarkazi_Sana'a,15.22632,44.48106,34.05868209053506
Amran City_Amran,15.658334732055664,43.94267654418945,Al Hazum_Al Jawf,16.16949462890625,44.778175354003906,34.05868209053506
Central Ataq_Shabwah,14.52941,46.8478,Al Bayda City_Al Bayda,13.982525825500488,45.57584381103515,45.82880966913351
Central Ataq_Shabwah,14.52941,46.8478,Marib City_Marib,15.46473503112793,45.32650375366211,45.82880966913351
Central Ataq_Shabwah,14.52941,46.8478,Zungubar City_Abyan,13.129193305969238,45.37763595581055,45.82880966913351
Central Ataq_Shabwah,14.52941,46.8478,Mukalla City_Hadramaut,14.531166076660156,49.13396835327149,45.82880966913351
Central Ataq_Shabwah,14.52941,46.8478,Sayoun City_Hadramaut,15.945585250854492,48.785675048828125,45.82880966913351
Dhamar City_Dhamar,14.543986320495604,44.39492416381836,Ibb City_Ibb,13.976155281066896,44.1850471496582,35.53851539258638
Dhamar City_Dhamar,14.543986320495604,44.39492416381836,Jihana Almarkazi_Sana'a,15.22632,44.48106,35.53851539258638
Dhamar City_Dhamar,14.543986320495604,44.39492416381836,Al Jabeen_Raymah,14.704837799072266,43.59856414794922,35.53851539258638
Dhamar City_Dhamar,14.543986320495604,44.39492416381836,Sana'a City_Amanat Al Asimah,15.348196029663086,44.196414947509766,35.53851539258638
Dhamar City_Dhamar,14.543986320495604,44.39492416381836,Taiz City_Taizz,13.58,44.02,35.53851539258638
Haradh Town_Hajjah,16.406211,43.055868,Alsuail_Hajjah,15.69607,43.61025,32.30143572656939
Haradh Town_Hajjah,16.406211,43.055868,Mahweet City_Al Mahwit,15.467576026916504,43.543514251708984,32.30143572656939
Haradh Town_Hajjah,16.406211,43.055868,Amran City_Amran,15.658334732055664,43.94267654418945,32.30143572656939
Haradh Town_Hajjah,16.406211,43.055868,Sana'a City_Amanat Al Asimah,15.348196029663086,44.196414947509766,32.30143572656939
Haradh Town_Hajjah,16.406211,43.055868,Alduhamih_Al Hudaydah,14.79294,42.9481,32.30143572656939
Ibb City_Ibb,13.976155281066896,44.1850471496582,Taiz City_Taizz,13.58,44.02,39.72776103423172
Ibb City_Ibb,13.976155281066896,44.1850471496582,Dhamar City_Dhamar,14.543986320495604,44.39492416381836,39.72776103423172
Ibb City_Ibb,13.976155281066896,44.1850471496582,Al Jabeen_Raymah,14.704837799072266,43.59856414794922,39.72776103423172
Ibb City_Ibb,13.976155281066896,44.1850471496582,Jihana Almarkazi_Sana'a,15.22632,44.48106,39.72776103423172
Ibb City_Ibb,13.976155281066896,44.1850471496582,Al Bayda City_Al Bayda,13.982525825500488,45.57584381103515,39.72776103423172
Jihana Almarkazi_Sana'a,15.22632,44.48106,Sana'a City_Amanat Al Asimah,15.348196029663086,44.196414947509766,38.78272511653441
Jihana Almarkazi_Sana'a,15.22632,44.48106,Amran City_Amran,15.658334732055664,43.94267654418945,38.78272511653441
Jihana Almarkazi_Sana'a,15.22632,44.48106,Dhamar City_Dhamar,14.543986320495604,44.39492416381836,38.78272511653441
Jihana Almarkazi_Sana'a,15.22632,44.48106,Marib City_Marib,15.46473503112793,45.32650375366211,38.78272511653441
Jihana Almarkazi_Sana'a,15.22632,44.48106,Mahweet City_Al Mahwit,15.467576026916504,43.543514251708984,38.78272511653441
Mahweet City_Al Mahwit,15.467576026916504,43.543514251708984,Alsuail_Hajjah,15.69607,43.61025,33.77940982864879
Mahweet City_Al Mahwit,15.467576026916504,43.543514251708984,Amran City_Amran,15.658334732055664,43.94267654418945,33.77940982864879
Mahweet City_Al Mahwit,15.467576026916504,43.543514251708984,Sana'a City_Amanat Al Asimah,15.348196029663086,44.196414947509766,33.77940982864879
Mahweet City_Al Mahwit,15.467576026916504,43.543514251708984,Al Jabeen_Raymah,14.704837799072266,43.59856414794922,33.77940982864879
Mahweet City_Al Mahwit,15.467576026916504,43.543514251708984,Alduhamih_Al Hudaydah,14.79294,42.9481,33.77940982864879
Marib City_Marib,15.46473503112793,45.32650375366211,Jihana Almarkazi_Sana'a,15.22632,44.48106,38.87958888635677
Marib City_Marib,15.46473503112793,45.32650375366211,Al Hazum_Al Jawf,16.16949462890625,44.778175354003906,38.87958888635677
Marib City_Marib,15.46473503112793,45.32650375366211,Sana'a City_Amanat Al Asimah,15.348196029663086,44.196414947509766,38.87958888635677
Marib City_Marib,15.46473503112793,45.32650375366211,Dhamar City_Dhamar,14.543986320495604,44.39492416381836,38.87958888635677
Marib City_Marib,15.46473503112793,45.32650375366211,Amran City_Amran,15.658334732055664,43.94267654418945,38.87958888635677
Mukalla City_Hadramaut,14.531166076660156,49.13396835327149,Sayoun City_Hadramaut,15.945585250854492,48.785675048828125,45.83828696710438
Mukalla City_Hadramaut,14.531166076660156,49.13396835327149,Central Ataq_Shabwah,14.52941,46.8478,45.83828696710438
Mukalla City_Hadramaut,14.531166076660156,49.13396835327149,Al Ghaidha_Al Maharah,16.20993423461914,52.18104934692383,45.83828696710438
Mukalla City_Hadramaut,14.531166076660156,49.13396835327149,Al Bayda City_Al Bayda,13.982525825500488,45.57584381103515,45.83828696710438
Mukalla City_Hadramaut,14.531166076660156,49.13396835327149,Marib City_Marib,15.46473503112793,45.32650375366211,45.83828696710438
Sana'a City_Amanat Al Asimah,15.348196029663086,44.196414947509766,Jihana Almarkazi_Sana'a,15.22632,44.48106,35.88721614553787
Sana'a City_Amanat Al Asimah,15.348196029663086,44.196414947509766,Amran City_Amran,15.658334732055664,43.94267654418945,35.88721614553787
Sana'a City_Amanat Al Asimah,15.348196029663086,44.196414947509766,Mahweet City_Al Mahwit,15.467576026916504,43.543514251708984,35.88721614553787
Sana'a City_Amanat Al Asimah,15.348196029663086,44.196414947509766,Alsuail_Hajjah,15.69607,43.61025,35.88721614553787
Sana'a City_Amanat Al Asimah,15.348196029663086,44.196414947509766,Dhamar City_Dhamar,14.543986320495604,44.39492416381836,35.88721614553787
Sayoun City_Hadramaut,15.945585250854492,48.785675048828125,Mukalla City_Hadramaut,14.531166076660156,49.13396835327149,46.28868816059165
Sayoun City_Hadramaut,15.945585250854492,48.785675048828125,Central Ataq_Shabwah,14.52941,46.8478,46.28868816059165
Sayoun City_Hadramaut,15.945585250854492,48.785675048828125,Al Ghaidha_Al Maharah,16.20993423461914,52.18104934692383,46.28868816059165
Sayoun City_Hadramaut,15.945585250854492,48.785675048828125,Marib City_Marib,15.46473503112793,45.32650375366211,46.28868816059165
Sayoun City_Hadramaut,15.945585250854492,48.785675048828125,Al Bayda City_Al Bayda,13.982525825500488,45.57584381103515,46.28868816059165
Soqatra (Hudaibo)_Socotra,12.65,54.033333,Al Ghaidha_Al Maharah,16.20993423461914,52.18104934692383,45.94861593437872
Soqatra (Hudaibo)_Socotra,12.65,54.033333,Mukalla City_Hadramaut,14.531166076660156,49.13396835327149,45.94861593437872
Soqatra (Hudaibo)_Socotra,12.65,54.033333,Sayoun City_Hadramaut,15.945585250854492,48.785675048828125,45.94861593437872
Soqatra (Hudaibo)_Socotra,12.65,54.033333,Central Ataq_Shabwah,14.52941,46.8478,45.94861593437872
