source,source_lat,source_lng,target,target_lat,target_lng,weight
Alsuail_Hajjah,1735805.5042575903,351073.2264011586,Haradh Town_Hajjah,1814864.1671159454,292385.9969887816,37.74276926113113
Alsuail_Hajjah,1735805.5042575903,351073.2264011586,Jihana Almarkazi_Sana'a,1683424.5251799258,444268.5254077898,37.74276926113113
Amran City_Amran,1731425.0945279438,386679.5361423165,Alsuail_Hajjah,1735805.5042575903,351073.2264011586,34.05868209053506
Amran City_Amran,1731425.0945279438,386679.5361423165,Sana'a City_Amanat Al Asimah,1696998.714254215,413747.54216314765,34.05868209053506
Amran City_Amran,1731425.0945279438,386679.5361423165,Mahweet City_Al Mahwit,1710572.7821730792,343747.8114166766,34.05868209053506
Amran City_Amran,1731425.0945279438,386679.5361423165,Jihana Almarkazi_Sana'a,1683424.5251799258,444268.5254077898,34.05868209053506
Amran City_Amran,1731425.0945279438,386679.5361423165,Al Hazum_Al Jawf,1787696.8583625571,476286.69293194887,34.05868209053506
Central Ataq_Shabwah,1607083.403143805,699110.4581984302,Al Bayda City_Al Bayda,1545869.2668154777,562191.4482966153,45.82880966913351
Central Ataq_Shabwah,1607083.403143805,699110.4581984302,Marib City_Marib,1709755.4170365373,535024.7951991099,45.82880966913351
Central Ataq_Shabwah,1607083.403143805,699110.4581984302,Zungubar City_Abyan,1451453.433761742,540930.338796394,45.82880966913351
Central Ataq_Shabwah,1607083.403143805,699110.4581984302,Mukalla City_Hadramaut,1610511.5976703227,945726.4126028048,45.82880966913351
Central Ataq_Shabwah,1607083.403143805,699110.4581984302,Sayoun City_Hadramaut,1766599.534024794,905396.9421393689,45.82880966913351
Dhamar City_Dhamar,1607976.2967569984,434812.9555183367,Ibb City_Ibb,1545240.393413971,411980.9012852698,35.53851539258638
Dhamar City_Dhamar,1607976.2967569984,434812.9555183367,Jihana Almarkazi_Sana'a,1683424.5251799258,444268.5254077898,35.53851539258638
Dhamar City_Dhamar,1607976.2967569984,434812.9555183367,Al Jabeen_Raymah,1626148.635239956,349117.30304702686,35.53851539258638
Dhamar City_Dhamar,1607976.2967569984,434812.9555183367,Sana'a City_Amanat Al Asimah,1696998.714254215,413747.54216314765,35.53851539258638
Dhamar City_Dhamar,1607976.2967569984,434812.9555183367,Taiz City_Taizz,1501490.1068909634,393975.03232055355,35.53851539258638
Haradh Town_Hajjah,1814864.1671159454,292385.9969887816,Alsuail_Hajjah,1735805.5042575903,351073.2264011586,32.30143572656939
Haradh Town_Hajjah,1814864.1671159454,292385.9969887816,Mahweet City_Al Mahwit,1710572.7821730792,343747.8114166766,32.30143572656939
Haradh Town_Hajjah,1814864.1671159454,292385.9969887816,Amran City_Amran,1731425.0945279438,386679.5361423165,32.30143572656939
Haradh Town_Hajjah,1814864.1671159454,292385.9969887816,Sana'a City_Amanat Al Asimah,1696998.714254215,413747.54216314765,32.30143572656939
Haradh Town_Hajjah,1814864.1671159454,292385.9969887816,Alduhamih_Al Hudaydah,1636434.4562545866,279153.2519347584,32.30143572656939
Ibb City_Ibb,1545240.393413971,411980.9012852698,Taiz City_Taizz,1501490.1068909634,393975.03232055355,39.72776103423172
Ibb City_Ibb,1545240.393413971,411980.9012852698,Dhamar City_Dhamar,1607976.2967569984,434812.9555183367,39.72776103423172
Ibb City_Ibb,1545240.393413971,411980.9012852698,Al Jabeen_Raymah,1626148.635239956,349117.30304702686,39.72776103423172
Ibb City_Ibb,1545240.393413971,411980.9012852698,Jihana Almarkazi_Sana'a,1683424.5251799258,444268.5254077898,39.72776103423172
Ibb City_Ibb,1545240.393413971,411980.9012852698,Al Bayda City_Al Bayda,1545869.2668154777,562191.4482966153,39.72776103423172
Jihana Almarkazi_Sana'a,1683424.5251799258,444268.5254077898,Sana'a City_Amanat Al Asimah,1696998.714254215,413747.54216314765,38.78272511653441
Jihana Almarkazi_Sana'a,1683424.5251799258,444268.5254077898,Amran City_Amran,1731425.0945279438,386679.5361423165,38.78272511653441
Jihana Almarkazi_Sana'a,1683424.5251799258,444268.5254077898,Dhamar City_Dhamar,1607976.2967569984,434812.9555183367,38.78272511653441
Jihana Almarkazi_Sana'a,1683424.5251799258,444268.5254077898,Marib City_Marib,1709755.4170365373,535024.7951991099,38.78272511653441
Jihana Almarkazi_Sana'a,1683424.5251799258,444268.5254077898,Mahweet City_Al Mahwit,1710572.7821730792,343747.8114166766,38.78272511653441
Mahweet City_Al Mahwit,1710572.7821730792,343747.8114166766,Alsuail_Hajjah,1735805.5042575903,351073.2264011586,33.77940982864879
Mahweet City_Al Mahwit,1710572.7821730792,343747.8114166766,Amran City_Amran,1731425.0945279438,386679.5361423165,33.77940982864879
Mahweet City_Al Mahwit,1710572.7821730792,343747.8114166766,Sana'a City_Amanat Al Asimah,1696998.714254215,413747.54216314765,33.77940982864879
Mahweet City_Al Mahwit,1710572.7821730792,343747.8114166766,Al Jabeen_Raymah,1626148.635239956,349117.30304702686,33.77940982864879
Mahweet City_Al Mahwit,1710572.7821730792,343747.8114166766,Alduhamih_Al Hudaydah,1636434.4562545866,279153.2519347584,33.77940982864879
Marib City_Marib,1709755.4170365373,535024.7951991099,Jihana Almarkazi_Sana'a,1683424.5251799258,444268.5254077898,38.87958888635677
Marib City_Marib,1709755.4170365373,535024.7951991099,Al Hazum_Al Jawf,1787696.8583625571,476286.69293194887,38.87958888635677
Marib City_Marib,1709755.4170365373,535024.7951991099,Sana'a City_Amanat Al Asimah,1696998.714254215,413747.54216314765,38.87958888635677
Marib City_Marib,1709755.4170365373,535024.7951991099,Dhamar City_Dhamar,1607976.2967569984,434812.9555183367,38.87958888635677
Marib City_Marib,1709755.4170365373,535024.7951991099,Amran City_Amran,1731425.0945279438,386679.5361423165,38.87958888635677
Mukalla City_Hadramaut,1610511.5976703227,945726.4126028048,Sayoun City_Hadramaut,1766599.534024794,905396.9421393689,45.83828696710438
Mukalla City_Hadramaut,1610511.5976703227,945726.4126028048,Central Ataq_Shabwah,1607083.403143805,699110.4581984302,45.83828696710438
Mukalla City_Hadramaut,1610511.5976703227,945726.4126028048,Al Ghaidha_Al Maharah,1805664.967681152,1269216.867839362,45.83828696710438
Mukalla City_Hadramaut,1610511.5976703227,945726.4126028048,Al Bayda City_Al Bayda,1545869.2668154777,562191.4482966153,45.83828696710438
Mukalla City_Hadramaut,1610511.5976703227,945726.4126028048,Marib City_Marib,1709755.4170365373,535024.7951991099,45.83828696710438
Sana'a City_Amanat Al Asimah,1696998.714254215,413747.54216314765,Jihana Almarkazi_Sana'a,1683424.5251799258,444268.5254077898,35.88721614553787
Sana'a City_Amanat Al Asimah,1696998.714254215,413747.54216314765,Amran City_Amran,1731425.0945279438,386679.5361423165,35.88721614553787
Sana'a City_Amanat Al Asimah,1696998.714254215,413747.54216314765,Mahweet City_Al Mahwit,1710572.7821730792,343747.8114166766,35.88721614553787
Sana'a City_Amanat Al Asimah,1696998.714254215,413747.54216314765,Alsuail_Hajjah,1735805.5042575903,351073.2264011586,35.88721614553787
Sana'a City_Amanat Al Asimah,1696998.714254215,413747.54216314765,Dhamar City_Dhamar,1607976.2967569984,434812.9555183367,35.88721614553787
Sayoun City_Hadramaut,1766599.534024794,905396.9421393689,Mukalla City_Hadramaut,1610511.5976703227,945726.4126028048,46.28868816059165
Sayoun City_Hadramaut,1766599.534024794,905396.9421393689,Central Ataq_Shabwah,1607083.403143805,699110.4581984302,46.28868816059165
Sayoun City_Hadramaut,1766599.534024794,905396.9421393689,Al Ghaidha_Al Maharah,1805664.967681152,1269216.867839362,46.28868816059165
Sayoun City_Hadramaut,1766599.534024794,905396.9421393689,Marib City_Marib,1709755.4170365373,535024.7951991099,46.28868816059165
Sayoun City_Hadramaut,1766599.534024794,905396.9421393689,Al Bayda City_Al Bayda,1545869.2668154777,562191.4482966153,46.28868816059165
Soqatra (Hudaibo)_Socotra,1415534.3742756257,1484659.5682649969,Al Ghaidha_Al Maharah,1805664.967681152,1269216.867839362,45.94861593437872
Soqatra (Hudaibo)_Socotra,1415534.3742756257,1484659.5682649969,Mukalla City_Hadramaut,1610511.5976703227,945726.4126028048,45.94861593437872
Soqatra (Hudaibo)_Socotra,1415534.3742756257,1484659.5682649969,Sayoun City_Hadramaut,1766599.534024794,905396.9421393689,45.94861593437872
Soqatra (Hudaibo)_Socotra,1415534.3742756257,1484659.5682649969,Central Ataq_Shabwah,1607083.403143805,699110.4581984302,45.94861593437872
Soqatra (Hudaibo)_Socotra,1415534.3742756257,1484659.5682649969,Al Bayda City_Al Bayda,1545869.2668154777,562191.4482966153,45.94861593437872
Taiz City_Taizz,1501490.1068909634,393975.03232055355,Ibb City_Ibb,1545240.393413971,411980.9012852698,37.70034727000013
Taiz City_Taizz,1501490.1068909634,393975.03232055355,Dhamar City_Dhamar,1607976.2967569984,434812.9555183367,37.70034727000013
Taiz City_Taizz,1501490.1068909634,393975.03232055355,Al Jabeen_Raymah,1626148.635239956,349117.30304702686,37.70034727000013
Taiz City_Taizz,1501490.1068909634,393975.03232055355,Aden City_Aden,1413414.8996473695,502024.6752111473,37.70034727000013
Taiz City_Taizz,1501490.1068909634,393975.03232055355,Zungubar City_Abyan,1451453.433761742,540930.338796394,37.70034727000013
Zungubar City_Abyan,1451453.433761742,540930.338796394,Aden City_Aden,1413414.8996473695,502024.6752111473,39.0588923390613
Zungubar City_Abyan,1451453.433761742,540930.338796394,Al Bayda City_Al Bayda,1545869.2668154777,562191.4482966153,39.0588923390613
Zungubar City_Abyan,1451453.433761742,540930.338796394,Taiz City_Taizz,1501490.1068909634,393975.03232055355,39.0588923390613
Zungubar City_Abyan,1451453.433761742,540930.338796394,Ibb City_Ibb,1545240.393413971,411980.9012852698,39.0588923390613
Zungubar City_Abyan,1451453.433761742,540930.338796394,Dhamar City_Dhamar,1607976.2967569984,434812.9555183367,39.0588923390613
